,cityname,cloudiness,country,date_time,humidity,latitude,longtitude,temp,windspeed
70,Isafjoerdur,8,IS,2017-09-08 22:50:07,100,66.08,-23.12,33.98,4.18
71,Bonavista,76,CA,2017-09-08 22:54:27,92,48.65,-53.11,58.37,5.97
72,Bouani,68,CF,2017-09-08 22:54:27,100,5.27,17.62,70.97,6.64
73,Bouca,80,CF,2017-09-08 22:54:27,97,6.51,18.27,72.95,5.41
74,Brae,24,GB,2017-09-08 22:20:00,100,60.4,-1.35,53.6,13.87
75,Bredasdorp,88,ZA,2017-09-08 22:00:00,93,-34.53,20.04,48.2,3.36
76,Buarcos,92,PT,2017-09-08 22:54:29,97,40.17,-8.88,63.68,12.24
77,Bubaque,75,GW,2017-09-08 22:00:00,94,11.28,-15.83,71.6,13.87
78,Buchanan,92,LR,2017-09-08 22:54:29,100,5.88,-10.05,74.03,4.41
79,Bujaru,0,BR,2017-09-08 22:00:00,88,-1.51,-48.04,77.0,9.17
80,Busselton,0,AU,2017-09-08 22:54:30,88,-33.65,115.33,64.31,9.22
81,Caluquembe,0,AO,2017-09-08 22:54:30,44,-13.78,14.68,55.94,4.29
82,Camapua,44,BR,2017-09-08 22:54:31,43,-19.53,-54.04,69.62,7.43
83,Camopi,0,GF,2017-09-08 22:54:31,70,3.17,-52.32,77.99,3.96
84,Cancun,20,MX,2017-09-08 21:42:00,100,21.17,-86.85,77.0,3.36
85,Cap Malheureux,20,MU,2017-09-08 22:00:00,64,-19.98,57.61,75.2,17.22
86,Cape Town,40,ZA,2017-09-08 22:00:00,93,-33.93,18.42,55.4,9.17
87,Caravelas,36,BR,2017-09-08 22:54:32,100,-17.71,-39.25,73.76,17.05
88,Carnarvon,0,AU,2017-09-08 22:54:33,82,-24.87,113.63,70.61,7.43
89,Carutapera,0,BR,2017-09-08 22:54:33,89,-1.2,-46.02,78.44,7.76
90,Castro,48,BR,2017-09-08 22:52:57,80,-24.79,-50.01,54.05,3.85
91,Castro Alves,68,BR,2017-09-08 22:54:34,94,-12.77,-39.43,67.73,5.75
92,Cayenne,0,GF,2017-09-08 22:30:00,94,4.93,-52.33,75.2,7.65
93,Chah Bahar,8,IR,2017-09-08 22:54:34,99,25.29,60.64,83.21,5.53
94,Chake Chake,92,TZ,2017-09-08 22:54:35,98,-5.25,39.77,77.0,14.14
95,Chalus,90,IR,2017-09-08 22:00:00,100,36.66,51.42,71.6,4.7
96,Changji,0,CN,2017-09-08 22:30:00,31,44.02,87.32,78.8,11.18
97,Chapais,1,CA,2017-09-08 22:00:00,86,49.78,-74.85,41.0,3.36
98,Charneca de Caparica,75,PT,2017-09-08 22:00:00,88,38.6,-9.18,64.4,9.17
99,Chatrapur,32,IN,2017-09-08 22:54:36,98,19.35,84.98,87.08,13.13
100,Chegem,0,RU,2017-09-08 22:30:00,49,43.28,43.13,69.8,1.72
101,Chuy,92,UY,2017-09-08 22:52:06,96,-33.7,-53.46,60.8,6.76
102,Cidreira,76,BR,2017-09-08 22:54:37,93,-30.18,-50.21,63.68,5.75
103,Clarksburg,90,US,2017-09-08 22:35:00,100,39.28,-80.34,55.4,2.73
104,Clyde River,90,CA,2017-09-08 22:00:00,100,70.47,-68.59,37.4,28.86
105,Cockburn Town,20,TC,2017-09-08 22:54:38,100,21.46,-71.14,84.74,25.55
106,Codrington,48,AU,2017-09-08 22:54:38,93,-38.27,141.97,54.23,10.78
107,Coihaique,40,CL,2017-09-08 22:30:00,78,-45.58,-72.07,32.0,6.93
108,Colares,75,PT,2017-09-08 22:00:00,88,38.8,-9.45,64.4,9.17
109,Comodoro Rivadavia,75,AR,2017-09-08 22:00:00,86,-45.87,-67.5,39.2,9.17
110,Coquimbo,75,CL,2017-09-08 22:00:00,81,-29.95,-71.34,51.8,2.24
111,Cordoba,90,AR,2017-09-08 22:16:00,93,-31.41,-64.18,57.2,1.12
112,Corinto,0,BR,2017-09-08 22:54:40,81,-18.38,-44.46,61.16,7.31
113,Cristalina,0,BR,2017-09-08 22:54:41,44,-16.77,-47.61,58.55,8.43
114,Dakar,20,SN,2017-09-08 22:00:00,88,14.69,-17.44,80.6,6.93
115,Dalvik,0,IS,2017-09-08 22:00:00,100,65.97,-18.53,41.0,1.95
116,Dekar,0,BW,2017-09-08 22:54:42,35,-21.53,21.93,62.51,7.09
117,Delvada,0,IN,2017-09-08 22:54:42,52,20.77,71.03,92.93,6.64
118,Darling,68,NP,2017-09-08 22:54:43,73,28.28,83.59,74.3,1.61
